name,id
Celulares e Telefones,MLB1051
Celulares e Smartphones,MLB1055
Acessórios para Celulares,MLB3813
Peças para Celular,MLB7462
Informática,MLB1648
Componentes para PC,MLB1712
Impressão,MLB5875
Acessórios para Notebook,MLB3377
Conectividade e Redes,MLB1700
Software,MLB1723
Computadores,MLB1649
Tablets e Acessórios,MLB91757
Câmeras e Acessórios,MLB1039
Acessórios para Câmeras,MLB1049
Câmeras,MLB191839
Filmadoras,MLB6989
"Eletrônicos, Áudio e Vídeo",MLB1000
Acessórios para Áudio e Vídeo,MLB4887
Áudio Portátil e Acessórios,MLB3836
Componentes Eletrônicos,MLB6999
Equipamento para DJs,MLB3837
Drones e Acessórios,MLB264065
Acessórios para TV,MLB1007
Fones de Ouvido,MLB196208
Áudio,MLB3835
Projetores e Telas,MLB2830
Games,MLB1144
Video Games,MLB186456
Fliperamas e Arcade,MLB51149
Televisores,MLB1002
